,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,word_count,genres_weight
1,Taxi Driver,MOVIE,1976,114,drama,92,1.0,8.2,808582.0,40.965,8.179,11,0.03650024883774565
2,Deliverance,MOVIE,1972,109,drama,92,1.0,7.7,107673.0,10.01,7.3,11,0.03650024883774565
3,Monty Python and the Holy Grail,MOVIE,1975,91,fantasy,91,1.0,8.2,534486.0,15.461,7.811,31,0.055241979534612726
4,The Dirty Dozen,MOVIE,1967,150,war,91,1.0,7.7,72662.0,20.398,7.6,15,0.11031402109658546
5,Monty Python's Flying Circus,SHOW,1969,30,comedy,91,4.0,8.8,73424.0,17.617,8.306,28,0.022292220482381074
6,Life of Brian,MOVIE,1979,94,comedy,91,1.0,8.0,395024.0,17.77,7.8,13,0.022292220482381074
7,Dirty Harry,MOVIE,1971,102,thriller,92,1.0,7.7,155051.0,12.817,7.5,11,0.08545452338467888
8,Bonnie and Clyde,MOVIE,1967,110,crime,92,1.0,7.7,112048.0,15.687,7.5,16,0.05329376206256145
9,The Blue Lagoon,MOVIE,1980,104,romance,92,1.0,5.8,69844.0,50.324,6.156,15,0.0394984402121797
10,The Guns of Navarone,MOVIE,1961,158,action,91,1.0,7.5,50748.0,13.844,7.3,20,0.061918114174040764
11,The Professionals,MOVIE,1966,117,western,92,1.0,7.3,16446.0,13.123,7.1,17,0.10511877450444873
12,Richard Pryor: Live in Concert,MOVIE,1979,78,comedy,92,1.0,8.1,5141.0,4.718,7.5,30,0.022292220482381074
13,White Christmas,MOVIE,1954,115,romance,92,1.0,7.5,42488.0,8.915,7.2,15,0.0394984402121797
14,Cairo Station,MOVIE,1958,77,drama,38,1.0,7.5,4471.0,5.546,7.3,13,0.03650024883774565
15,Hitler: A Career,MOVIE,1977,150,history,89,1.0,7.5,2460.0,4.305,7.3,16,0.04340701358289938
16,FTA,MOVIE,1972,97,war,92,1.0,6.2,418.0,1.268,6.1,3,0.11031402109658546
17,Alexandria… Why?,MOVIE,1979,133,drama,38,1.0,7.2,1727.0,1.37,6.0,16,0.03650024883774565
18,The Land,MOVIE,1969,129,drama,38,1.0,8.1,1958.0,1.265,8.5,8,0.03650024883774565
19,Dostana,MOVIE,1980,161,drama,75,1.0,2.1,25.0,3.98,4.9,7,0.03650024883774565
20,Saladin the Victorious,MOVIE,1963,186,action,38,1.0,7.6,2508.0,4.156,7.1,22,0.061918114174040764
21,Alibaba Aur 40 Chor,MOVIE,1979,146,drama,17,1.0,6.2,565.0,2.582,6.8,19,0.03650024883774565
22,The Blazing Sun,MOVIE,1954,100,crime,38,1.0,7.4,1219.0,2.184,7.0,15,0.05329376206256145
23,Dark Waters,MOVIE,1956,120,action,38,1.0,6.7,610.0,0.849,5.9,11,0.061918114174040764
24,We Are All for the Fatherland,MOVIE,1979,74,documentation,15,1.0,6.1,47.0,0.6,5.2,29,0.016963451197455785
25,Singapore,MOVIE,1960,158,drama,75,1.0,6.4,84.0,0.792,6.3,9,0.03650024883774565
26,Monty Python's Fliegender Zirkus,SHOW,1972,43,comedy,21,1.0,8.1,2151.0,1.487,7.0,32,0.022292220482381074
27,"Beirut, Oh Beirut",MOVIE,1975,110,drama,15,1.0,6.4,108.0,1.025,7.2,17,0.03650024883774565
28,The Return of the Prodigal Son,MOVIE,1976,124,music,24,1.0,7.2,780.0,1.858,5.3,30,0.0157071240425816
29,Khoon Khoon,MOVIE,1973,131,crime,75,1.0,5.1,41.0,1.948,3.8,11,0.05329376206256145
30,Manoranjan,MOVIE,1974,162,romance,75,1.0,6.5,237.0,1.532,5.3,10,0.0394984402121797
31,Ujala,MOVIE,1959,142,romance,75,1.0,6.6,78.0,0.84,6.0,5,0.0394984402121797
32,Whispers,MOVIE,1980,93,documentation,84,1.0,7.8,78.0,0.6,5.0,8,0.016963451197455785
33,Chadi Jawani Budhe Nu,MOVIE,1976,135,romance,75,1.0,4.6,14.0,0.62,6.0,21,0.0394984402121797
34,Bandie,MOVIE,1978,141,drama,75,1.0,4.4,35.0,1.166,6.0,6,0.03650024883774565
35,Seinfeld,SHOW,1989,24,comedy,92,9.0,8.9,308824.0,130.213,8.301,8,0.022292220482381074
36,GoodFellas,MOVIE,1990,145,drama,92,1.0,8.7,1131681.0,50.387,8.463,10,0.03650024883774565
37,Full Metal Jacket,MOVIE,1987,117,war,92,1.0,8.3,729274.0,32.937,8.1,17,0.11031402109658546
38,Once Upon a Time in America,MOVIE,1984,139,crime,92,1.0,8.3,345714.0,28.937,8.453,27,0.05329376206256145
39,When Harry Met Sally...,MOVIE,1989,96,comedy,92,1.0,7.7,216199.0,15.123,7.4,23,0.022292220482381074
40,A Nightmare on Elm Street,MOVIE,1984,91,horror,91,1.0,7.4,234068.0,48.358,7.3,25,0.15172426350096502
41,Steel Magnolias,MOVIE,1989,119,comedy,92,1.0,7.3,54946.0,11.69,7.2,15,0.022292220482381074
42,Police Academy,MOVIE,1984,97,crime,92,1.0,6.7,124881.0,25.533,6.6,14,0.05329376206256145
43,Christine,MOVIE,1983,110,horror,92,1.0,6.7,81922.0,23.418,6.8,9,0.15172426350096502
44,Knight Rider,SHOW,1982,51,scifi,92,4.0,6.9,34115.0,50.267,7.5,12,0.10741293713508855
45,Thomas & Friends,SHOW,1984,10,animation,91,24.0,6.5,5104.0,42.196,6.5,16,0.006979595304856584
46,Saved by the Bell,SHOW,1989,23,family,92,5.0,7.1,35034.0,19.855,8.0,17,0.011507228433050508
47,Awakenings,MOVIE,1990,120,drama,92,1.0,7.8,139240.0,12.23,7.8,10,0.03650024883774565
48,Wheel of Fortune,SHOW,1983,26,family,92,39.0,6.7,3145.0,5.935,6.8,16,0.011507228433050508
49,National Lampoon's Christmas Vacation,MOVIE,1989,97,comedy,92,1.0,7.5,185760.0,18.862,7.2,37,0.022292220482381074
50,Lean On Me,MOVIE,1989,105,drama,92,1.0,7.4,20680.0,19.449,7.3,10,0.03650024883774565
51,Eddie Murphy Raw,MOVIE,1987,90,comedy,92,1.0,7.6,19757.0,7.992,7.3,16,0.022292220482381074
52,She's Gotta Have It,MOVIE,1986,84,romance,92,1.0,6.7,14472.0,7.416,6.707,19,0.0394984402121797
53,Major Dad,SHOW,1989,24,comedy,92,4.0,6.5,2922.0,9.849,6.5,9,0.022292220482381074
54,Endless Love,MOVIE,1981,116,romance,92,1.0,4.9,8524.0,19.116,5.7,12,0.0394984402121797
55,Danger Mouse,SHOW,1981,14,animation,91,10.0,7.4,3545.0,8.55,7.5,12,0.006979595304856584
57,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,119,scifi,74,1.0,7.3,1693.0,8.092,6.7,40,0.10741293713508855
58,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,animation,74,1.0,7.2,1274.0,13.125,7.2,41,0.006979595304856584
59,Fireman Sam,SHOW,1987,10,animation,91,13.0,6.1,1785.0,37.647,7.2,11,0.006979595304856584
60,Sam Kinison: Breaking the Rules,MOVIE,1987,50,comedy,92,1.0,7.2,660.0,1.843,7.2,31,0.022292220482381074
61,Waiting for the Hearse,MOVIE,1985,87,comedy,37,1.0,8.0,6399.0,7.81,8.1,22,0.022292220482381074
62,Tim Allen: Men Are Pigs,MOVIE,1990,30,comedy,92,1.0,6.1,360.0,2.482,6.3,23,0.022292220482381074
63,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,action,74,1.0,7.6,1236.0,12.741,7.5,43,0.061918114174040764
64,Monty Python Live at the Hollywood Bowl,MOVIE,1982,81,comedy,91,1.0,7.9,15230.0,6.833,7.4,39,0.022292220482381074
65,Disco Dancer,MOVIE,1982,106,drama,75,1.0,6.4,1476.0,7.879,5.3,12,0.03650024883774565
66,Agneepath,MOVIE,1990,174,drama,75,1.0,7.6,8947.0,4.062,6.5,9,0.03650024883774565
67,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,comedy,91,1.0,8.1,1522.0,1.801,6.9,56,0.022292220482381074
68,Too Young The Hero,MOVIE,1988,100,drama,92,1.0,6.7,502.0,1.485,6.2,18,0.03650024883774565
69,A Stoning in Fulham County,MOVIE,1988,120,thriller,92,1.0,5.9,387.0,1.01,5.8,26,0.08545452338467888
70,The Ryan White Story,MOVIE,1989,102,drama,92,1.0,7.2,863.0,1.981,5.9,20,0.03650024883774565
71,Dil,MOVIE,1990,172,drama,75,1.0,6.6,5316.0,3.992,6.5,3,0.03650024883774565
72,Adam: His Song Continues,MOVIE,1986,100,crime,92,1.0,7.0,212.0,1.603,7.0,24,0.05329376206256145
73,The George McKenna Story,MOVIE,1988,100,drama,92,1.0,6.0,921.0,2.296,6.1,24,0.03650024883774565
74,In Defense of a Married Man,MOVIE,1990,94,drama,92,1.0,5.6,207.0,2.444,4.9,27,0.03650024883774565
76,Mujrim,MOVIE,1989,162,drama,75,1.0,5.4,197.0,1.418,6.0,6,0.03650024883774565
77,Aakhri Adaalat,MOVIE,1988,148,action,75,1.0,5.1,92.0,1.374,5.0,14,0.061918114174040764
78,"Alexandria, Again and Forever",MOVIE,1989,105,drama,77,1.0,6.5,658.0,0.817,5.3,29,0.03650024883774565
80,Strange Voices,MOVIE,1987,100,drama,92,1.0,6.3,360.0,2.76,6.8,14,0.03650024883774565
81,Jaal,MOVIE,1986,159,action,75,1.0,5.2,125.0,3.366,5.0,4,0.061918114174040764
82,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,drama,92,1.0,7.2,144.0,2.246,8.0,42,0.03650024883774565
86,Sohni Mahiwal,MOVIE,1984,160,romance,75,1.0,6.1,297.0,6.052,5.8,13,0.0394984402121797
87,Ek Jaan Hain Hum,MOVIE,1983,151,family,75,1.0,6.3,70.0,0.986,7.0,16,0.011507228433050508
88,An Egyptian Story,MOVIE,1982,129,drama,38,1.0,7.3,1126.0,1.77,6.7,17,0.03650024883774565
89,The Little Wars,MOVIE,1982,108,war,77,1.0,6.3,152.0,1.956,5.5,15,0.11031402109658546
90,Unspeakable Acts,MOVIE,1990,100,drama,92,1.0,6.1,464.0,2.075,5.3,16,0.03650024883774565
91,Survivor,SHOW,2000,48,reality,92,42.0,7.4,24687.0,54.19,7.4,8,0.009158442882633552
92,Mission: Impossible,MOVIE,1996,110,thriller,92,1.0,7.1,420673.0,41.115,6.9,19,0.08545452338467888
93,Stargate SG-1,SHOW,1997,44,scifi,84,10.0,8.4,90196.0,88.851,8.3,13,0.10741293713508855
94,Se7en,MOVIE,1995,127,crime,92,1.0,8.6,1606270.0,51.633,8.352,5,0.05329376206256145
95,Pokémon,SHOW,1997,22,action,74,25.0,7.4,198.0,115.356,7.633,7,0.061918114174040764
96,Boogie Nights,MOVIE,1997,156,drama,92,1.0,7.9,261563.0,20.436,7.6,13,0.03650024883774565
97,Forrest Gump,MOVIE,1994,142,drama,92,1.0,8.8,2021343.0,63.449,8.478,12,0.03650024883774565
98,Snatch,MOVIE,2000,103,crime,92,1.0,8.3,841435.0,25.203,7.8,6,0.05329376206256145
99,The Talented Mr. Ripley,MOVIE,1999,139,thriller,92,1.0,7.4,207524.0,13.78,7.2,23,0.08545452338467888
100,One Piece,SHOW,1999,23,animation,74,21.0,8.8,117129.0,143.457,8.764,9,0.006979595304856584
101,The Challenge,SHOW,1998,40,reality,92,37.0,7.8,3362.0,18.075,7.7,13,0.009158442882633552
102,Titanic,MOVIE,1997,194,drama,92,1.0,7.9,1146825.0,155.683,7.878,7,0.03650024883774565
103,Cowboy Bebop,SHOW,1998,25,animation,74,1.0,8.9,115448.0,35.402,8.522,12,0.006979595304856584
104,Starship Troopers,MOVIE,1997,129,scifi,92,1.0,7.3,291452.0,29.5,6.993,17,0.10741293713508855
105,Mission: Impossible II,MOVIE,2000,123,thriller,92,1.0,6.1,337987.0,29.392,6.1,22,0.08545452338467888
106,Dumb and Dumber,MOVIE,1994,107,comedy,92,1.0,7.3,379999.0,31.852,6.6,15,0.022292220482381074
107,Neon Genesis Evangelion,SHOW,1995,24,drama,74,1.0,8.5,66629.0,49.27,8.637,23,0.03650024883774565
108,Gattaca,MOVIE,1997,106,scifi,92,1.0,7.8,300701.0,17.789,7.553,7,0.10741293713508855
109,Léon: The Professional,MOVIE,1994,111,crime,92,1.0,8.5,1137357.0,51.406,8.323,22,0.05329376206256145
110,Gilmore Girls,SHOW,2000,46,comedy,92,8.0,8.2,121462.0,58.578,7.827,13,0.022292220482381074
111,Natural Born Killers,MOVIE,1994,118,thriller,92,1.0,7.3,11.0,21.933,7.1,20,0.08545452338467888
112,The Quick and the Dead,MOVIE,1995,107,action,74,1.0,6.5,93767.0,13.056,6.5,22,0.061918114174040764
113,You've Got Mail,MOVIE,1998,119,comedy,92,1.0,6.7,211635.0,21.724,6.643,15,0.022292220482381074
114,Power Rangers,SHOW,1993,22,action,92,29.0,6.5,22110.0,19.699,6.8,13,0.061918114174040764
115,Big Daddy,MOVIE,1999,93,drama,92,1.0,6.4,215053.0,26.848,6.45,9,0.03650024883774565
116,Vampires,MOVIE,1998,104,fantasy,92,1.0,6.1,58670.0,10.108,6.3,8,0.055241979534612726
117,Yu-Gi-Oh!,SHOW,1998,22,scifi,74,7.0,7.3,21113.0,33.504,7.358,9,0.10741293713508855
118,Donnie Brasco,MOVIE,1997,127,drama,92,1.0,7.7,303868.0,22.225,7.5,13,0.03650024883774565
119,The Magic School Bus,SHOW,1994,26,animation,84,4.0,7.8,9829.0,16.83,7.8,20,0.006979595304856584
120,Goosebumps,SHOW,1995,22,scifi,92,4.0,7.6,13493.0,63.687,7.9,10,0.10741293713508855
121,InuYasha,SHOW,2000,25,scifi,74,9.0,7.9,15823.0,62.355,8.6,8,0.10741293713508855
122,A River Runs Through It,MOVIE,1992,123,drama,92,1.0,7.2,59854.0,19.58,7.1,23,0.03650024883774565
123,"Girl, Interrupted",MOVIE,1999,127,drama,89,1.0,7.3,183154.0,20.424,7.6,17,0.03650024883774565
124,Last Action Hero,MOVIE,1993,131,action,92,1.0,6.4,150498.0,22.196,6.379,16,0.061918114174040764
125,All That,SHOW,1994,22,comedy,92,11.0,7.5,7718.0,6.688,8.4,8,0.022292220482381074
126,My Girl,MOVIE,1991,103,drama,92,1.0,6.9,80590.0,20.545,7.4,7,0.03650024883774565
127,Wyatt Earp,MOVIE,1994,191,western,92,1.0,6.7,50774.0,14.677,6.751,10,0.10511877450444873
128,Eraser,MOVIE,1996,115,thriller,92,1.0,6.1,110921.0,19.437,6.0,6,0.08545452338467888
129,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,action,74,1.0,8.0,53152.0,32.569,8.4,46,0.061918114174040764
130,Vegas Vacation,MOVIE,1997,94,comedy,92,1.0,5.9,49377.0,12.537,6.1,14,0.022292220482381074
131,In the Line of Fire,MOVIE,1993,128,drama,92,1.0,7.2,102916.0,19.8,6.973,19,0.03650024883774565
132,Little Women,MOVIE,1994,115,drama,92,1.0,7.3,58178.0,13.683,7.314,12,0.03650024883774565
133,U.S. Marshals,MOVIE,1998,131,thriller,92,1.0,6.5,105286.0,24.205,6.5,13,0.08545452338467888
134,Barney & Friends,SHOW,1992,28,comedy,92,14.0,3.8,9624.0,14.641,4.9,16,0.022292220482381074
135,Anaconda,MOVIE,1997,89,horror,78,1.0,4.8,104213.0,34.405,5.1,8,0.15172426350096502
136,Kenan & Kel,SHOW,1996,25,family,92,4.0,7.8,15620.0,33.544,8.3,11,0.011507228433050508
137,The Replacements,MOVIE,2000,118,comedy,92,1.0,6.6,64771.0,30.982,6.6,16,0.022292220482381074
138,Seven Years in Tibet,MOVIE,1997,136,action,92,1.0,7.1,142903.0,13.766,7.2,20,0.061918114174040764
139,The Net,MOVIE,1995,114,thriller,92,1.0,5.9,66667.0,15.935,6.0,7,0.08545452338467888
140,Cliffhanger,MOVIE,1993,112,action,71,1.0,6.5,128972.0,27.78,6.5,11,0.061918114174040764
141,Menace II Society,MOVIE,1993,97,drama,92,1.0,7.5,58179.0,13.928,7.542,17,0.03650024883774565
142,Johnny Mnemonic,MOVIE,1995,97,action,84,1.0,5.6,71563.0,10.75,5.7,15,0.061918114174040764
143,3 Ninjas Kick Back,MOVIE,1994,93,comedy,74,1.0,4.5,9321.0,12.603,5.5,18,0.022292220482381074
144,Edge of Seventeen,MOVIE,1998,104,romance,92,1.0,6.8,6549.0,6.276,6.5,17,0.0394984402121797
146,The Devil's Own,MOVIE,1997,107,crime,92,1.0,6.2,65323.0,12.863,6.1,15,0.05329376206256145
147,Cardcaptor Sakura,SHOW,1998,25,scifi,74,4.0,8.0,5008.0,35.757,8.7,17,0.10741293713508855
148,Spawn,MOVIE,1997,96,scifi,92,1.0,5.2,68184.0,16.989,5.343,5,0.10741293713508855
149,Adventures of Sonic the Hedgehog,SHOW,1993,22,scifi,92,4.0,6.2,3902.0,13.313,6.3,32,0.10741293713508855
150,Croupier,MOVIE,1998,94,drama,70,1.0,7.0,21599.0,8.381,6.8,8,0.03650024883774565
151,Girlfriends,SHOW,2000,21,drama,92,8.0,7.2,4528.0,12.163,7.7,11,0.03650024883774565
152,The Next Karate Kid,MOVIE,1994,107,action,92,1.0,4.5,30422.0,20.185,5.318,19,0.061918114174040764
153,Geronimo: An American Legend,MOVIE,1993,115,western,92,1.0,6.5,11709.0,8.136,6.3,28,0.10511877450444873
154,Double Team,MOVIE,1997,93,action,81,1.0,4.8,34396.0,14.599,5.1,11,0.061918114174040764
155,Heavy,MOVIE,1995,105,drama,92,1.0,6.8,5047.0,3.308,6.8,5,0.03650024883774565
156,The Players Club,MOVIE,1998,104,comedy,92,1.0,5.9,6676.0,9.25,6.3,16,0.022292220482381074
157,The Parkers,SHOW,1999,19,comedy,92,5.0,6.8,2377.0,5.745,8.1,11,0.022292220482381074
158,"Sister, Sister",SHOW,1994,22,comedy,92,6.0,6.2,12657.0,21.489,7.5,14,0.022292220482381074
159,Moesha,SHOW,1996,21,drama,92,6.0,5.8,3747.0,10.901,7.0,6,0.03650024883774565
160,Heartbreak High,SHOW,1994,45,drama,83,7.0,7.8,3139.0,7.222,7.3,15,0.03650024883774565
161,Oggy and the Cockroaches,SHOW,1999,9,animation,77,7.0,7.4,4281.0,40.189,7.5,24,0.006979595304856584
162,Kuch Kuch Hota Hai,MOVIE,1998,185,romance,75,1.0,7.6,52036.0,12.35,7.7,18,0.0394984402121797
163,Children of God,MOVIE,1994,63,documentation,91,1.0,6.3,612.0,0.685,6.4,15,0.016963451197455785
164,Knight Rider 2000,MOVIE,1991,91,action,92,1.0,4.5,3207.0,7.945,5.1,17,0.061918114174040764
165,Okupas,SHOW,2000,40,drama,37,1.0,9.0,2399.0,8.565,8.8,6,0.03650024883774565
166,Hum Aapke Hain Koun..!,MOVIE,1994,206,drama,75,1.0,7.5,21123.0,6.314,6.5,22,0.03650024883774565
167,Dil Se..,MOVIE,1998,163,drama,75,1.0,7.5,28586.0,7.811,6.8,8,0.03650024883774565
168,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,comedy,92,1.0,7.9,5879.0,5.822,7.6,49,0.022292220482381074
169,H,SHOW,1998,25,comedy,77,4.0,7.4,1727.0,7.905,7.6,1,0.022292220482381074
170,Sankofa,MOVIE,1993,124,drama,89,1.0,7.0,692.0,1.858,6.5,7,0.03650024883774565
171,Herod's Law,MOVIE,1999,123,comedy,51,1.0,7.8,6035.0,10.506,7.9,11,0.022292220482381074
172,Wild Tango,MOVIE,1993,124,drama,60,1.0,6.7,1584.0,5.092,6.1,10,0.03650024883774565
173,The Last Days,MOVIE,1998,87,drama,92,1.0,7.9,4378.0,3.766,7.8,13,0.03650024883774565
174,Sam Kinison: Live in Vegas,MOVIE,1991,72,comedy,92,1.0,6.6,276.0,0.656,6.0,26,0.022292220482381074
175,Bill Hicks: Revelations,MOVIE,1993,74,comedy,91,1.0,8.5,3098.0,3.784,8.1,23,0.022292220482381074
176,Bombay,MOVIE,1995,141,drama,75,1.0,8.1,12629.0,4.99,7.2,6,0.03650024883774565
178,Mann,MOVIE,1999,174,drama,75,1.0,6.1,5451.0,2.595,6.7,4,0.03650024883774565
179,Soldier,MOVIE,1998,156,thriller,75,1.0,6.2,3063.0,3.623,5.7,7,0.08545452338467888
181,Sinbad: Son of a Preacher Man,MOVIE,1996,56,comedy,92,1.0,6.8,116.0,1.536,5.8,29,0.022292220482381074
182,Damini,MOVIE,1993,175,drama,75,1.0,7.8,3523.0,3.328,7.3,6,0.03650024883774565
183,Hum Saath Saath Hain,MOVIE,1999,177,romance,75,1.0,6.2,8552.0,7.865,6.0,20,0.0394984402121797
184,Destiny,MOVIE,1997,136,drama,77,1.0,7.1,2857.0,3.287,6.7,7,0.03650024883774565
185,Chronicle of a Disappearance,MOVIE,1996,88,drama,45,1.0,6.9,733.0,2.099,6.7,28,0.03650024883774565
186,Muthu,MOVIE,1995,165,comedy,75,1.0,7.6,3056.0,3.576,6.9,5,0.022292220482381074
187,Jeans,MOVIE,1998,175,comedy,75,1.0,6.4,3604.0,3.393,6.5,5,0.022292220482381074
188,Monty Python: Live at Aspen,MOVIE,1998,58,comedy,91,1.0,7.8,1096.0,2.681,6.9,27,0.022292220482381074
189,Minsara Kanavu,MOVIE,1997,145,comedy,75,1.0,6.7,1226.0,2.316,6.6,14,0.022292220482381074
190,Duplicate,MOVIE,1998,165,comedy,75,1.0,5.5,7618.0,4.112,6.0,9,0.022292220482381074
191,Avvai Shanmugi,MOVIE,1996,160,drama,75,1.0,7.9,2586.0,2.828,7.5,14,0.03650024883774565
192,Anjaam,MOVIE,1994,137,romance,75,1.0,6.6,6532.0,3.806,7.1,6,0.0394984402121797
193,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,drama,92,1.0,7.2,250.0,1.533,5.1,44,0.03650024883774565
194,Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,comedy,75,1.0,6.1,7610.0,7.778,6.6,27,0.022292220482381074
195,Children of Shatila,MOVIE,1999,50,documentation,15,1.0,8.1,78.0,1.635,6.7,19,0.016963451197455785
197,Tim Allen: Rewires America,MOVIE,1991,30,comedy,92,1.0,6.0,198.0,2.297,7.0,26,0.022292220482381074
199,West Beirut,MOVIE,1998,105,romance,77,1.0,7.6,4221.0,3.308,7.3,11,0.0394984402121797
200,Govindha Govindha,MOVIE,1993,145,drama,75,1.0,6.6,356.0,1.248,4.0,17,0.03650024883774565
201,Out of Life,MOVIE,1991,97,drama,76,1.0,6.9,376.0,2.481,6.2,11,0.03650024883774565
202,Gumrah,MOVIE,1993,149,drama,75,1.0,6.1,795.0,1.763,6.7,6,0.03650024883774565
203,Sinbad: Nothin' but the Funk,MOVIE,1998,56,comedy,92,1.0,6.3,65.0,1.83,5.2,28,0.022292220482381074
204,Sinbad: Afros and Bellbottoms,MOVIE,1993,60,comedy,92,1.0,7.8,172.0,3.793,5.5,29,0.022292220482381074
205,Fiza,MOVIE,2000,170,romance,75,1.0,6.0,4213.0,2.835,6.3,4,0.0394984402121797
206,Before the Flying Circus,MOVIE,2000,55,comedy,91,1.0,7.3,168.0,1.444,8.5,24,0.022292220482381074
207,The Other,MOVIE,1999,106,romance,77,1.0,5.9,997.0,1.12,5.9,9,0.0394984402121797
208,Yodha,MOVIE,1991,142,action,75,1.0,4.5,198.0,1.554,5.0,5,0.061918114174040764
209,The Emigrant,MOVIE,1994,129,drama,77,1.0,6.5,1015.0,1.4,6.0,12,0.03650024883774565
210,Hello Brother,MOVIE,1999,131,comedy,75,1.0,4.6,4262.0,4.338,5.3,13,0.022292220482381074
211,Dushmani,MOVIE,1995,156,romance,75,1.0,5.0,249.0,2.045,7.5,8,0.0394984402121797
213,Nightmare in Columbia County,MOVIE,1991,100,drama,92,1.0,5.5,345.0,2.713,6.0,28,0.03650024883774565
215,Shikari,MOVIE,1991,162,drama,75,1.0,5.8,68.0,1.323,5.0,7,0.03650024883774565
216,Breaking Bad,SHOW,2008,48,drama,92,5.0,9.5,1775990.0,353.848,8.79,12,0.03650024883774565
217,Top Gear,SHOW,2002,58,comedy,91,32.0,8.7,117240.0,45.549,7.4,8,0.022292220482381074
218,The Walking Dead,SHOW,2010,46,action,92,11.0,8.2,956604.0,597.277,8.1,16,0.061918114174040764
219,Supernatural,SHOW,2005,45,scifi,92,15.0,8.4,434081.0,388.093,8.278,12,0.10741293713508855
220,The Mist,MOVIE,2007,126,horror,92,1.0,7.1,305346.0,37.369,6.9,8,0.15172426350096502
221,Mean Girls,MOVIE,2004,97,comedy,84,1.0,7.1,375975.0,57.235,7.2,10,0.022292220482381074
222,The Great British Baking Show,SHOW,2010,57,reality,91,12.0,8.6,9856.0,5.581,7.7,29,0.009158442882633552
223,30 Rock,SHOW,2006,25,comedy,92,7.0,8.3,122698.0,48.88,7.4,7,0.022292220482381074
224,Borgen,SHOW,2010,58,drama,73,4.0,8.5,25485.0,51.118,8.1,6,0.03650024883774565
225,Community,SHOW,2009,23,comedy,92,6.0,8.5,257221.0,42.357,8.0,9,0.022292220482381074
226,Catch Me If You Can,MOVIE,2002,141,drama,92,1.0,8.1,952602.0,72.321,8.0,19,0.03650024883774565
227,Grey's Anatomy,SHOW,2005,49,drama,92,19.0,7.6,299165.0,803.786,8.252,14,0.03650024883774565
228,Arrested Development,SHOW,2003,28,comedy,92,5.0,8.7,300445.0,30.131,8.043,20,0.022292220482381074
229,Heartland,SHOW,2007,44,drama,84,15.0,8.4,16337.0,74.638,8.3,9,0.03650024883774565
230,The Staircase,SHOW,2004,49,crime,77,2.0,7.8,21531.0,10.922,7.7,13,0.05329376206256145
231,Old School,MOVIE,2003,88,comedy,92,1.0,7.0,229171.0,17.131,6.577,10,0.022292220482381074
232,NCIS,SHOW,2003,43,crime,92,20.0,7.8,143846.0,251.622,7.6,4,0.05329376206256145
233,Avatar: The Last Airbender,SHOW,2005,24,scifi,92,3.0,9.3,303666.0,56.915,8.7,26,0.10741293713508855
234,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,95,comedy,92,1.0,7.1,353118.0,20.606,6.7,37,0.022292220482381074
235,Friday Night Lights,SHOW,2006,43,drama,92,5.0,8.7,65199.0,19.681,8.1,19,0.03650024883774565
236,The IT Crowd,SHOW,2006,25,comedy,91,5.0,8.5,149586.0,31.031,8.108,12,0.022292220482381074
237,Inception,MOVIE,2010,148,action,92,1.0,8.8,2294231.0,108.284,8.4,9,0.061918114174040764
238,The Spectacular Spider-Man,SHOW,2008,22,action,92,2.0,8.3,14996.0,41.509,8.705,26,0.061918114174040764
239,The Departed,MOVIE,2006,151,drama,92,1.0,8.5,1296244.0,33.795,8.2,12,0.03650024883774565
240,Zoey 101,SHOW,2005,25,drama,92,4.0,6.1,15808.0,53.044,8.2,8,0.03650024883774565
241,Insidious,MOVIE,2010,103,horror,84,1.0,6.8,303820.0,99.129,6.929,9,0.15172426350096502
242,War of the Worlds,MOVIE,2005,117,action,92,1.0,6.5,444229.0,36.989,6.474,17,0.061918114174040764
243,DEATH NOTE,SHOW,2006,24,animation,74,1.0,9.0,309445.0,120.545,8.664,10,0.006979595304856584
244,The Vampire Diaries,SHOW,2009,42,drama,92,8.0,7.7,314422.0,479.354,8.348,19,0.03650024883774565
245,Naruto,SHOW,2002,23,animation,74,6.0,8.4,96729.0,218.843,8.363,6,0.006979595304856584
246,Wanted,MOVIE,2008,110,action,89,1.0,6.7,384995.0,33.101,6.5,6,0.061918114174040764
247,Casino Royale,MOVIE,2006,144,action,89,1.0,8.0,649676.0,40.164,7.518,13,0.061918114174040764
248,My Little Pony: Friendship Is Magic,SHOW,2010,22,comedy,84,9.0,7.6,20910.0,52.369,8.1,35,0.022292220482381074
250,Chappelle's Show,SHOW,2003,21,comedy,92,3.0,8.8,63107.0,14.116,8.1,16,0.022292220482381074
