,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,word_count,genres_weight
4839,Army of the Dead,MOVIE,2021,148,horror,92,1.0,5.7,169348.0,131.869,6.3,16,0.15172426350096502
4840,Downfall: The Case Against Boeing,MOVIE,2022,89,documentation,92,1.0,7.4,10313.0,25.636,7.2,33,0.016963451197455785
4841,Rescued by Ruby,MOVIE,2022,93,family,84,1.0,7.1,7485.0,49.137,7.119,15,0.011507228433050508
4842,Black Crab,MOVIE,2022,114,scifi,66,1.0,5.6,19159.0,207.948,6.3,10,0.10741293713508855
4843,14 Peaks: Nothing Is Impossible,MOVIE,2021,101,documentation,92,1.0,7.7,24213.0,22.226,7.5,31,0.016963451197455785
4844,The 7 Lives of Lea,SHOW,2022,45,drama,77,1.0,7.5,2684.0,12.437,7.1,18,0.03650024883774565
4845,Bigbug,MOVIE,2022,111,comedy,77,1.0,5.4,7483.0,26.497,5.3,6,0.022292220482381074
4846,Image of Victory,MOVIE,2021,128,war,55,1.0,7.5,178.0,2.711,7.0,16,0.11031402109658546
4847,Choose or Die,MOVIE,2022,85,scifi,91,1.0,4.7,18307.0,25.632,5.3,13,0.10741293713508855
4848,Kate,MOVIE,2021,106,action,92,1.0,6.2,59480.0,64.19,6.7,4,0.061918114174040764
4849,The Dig,MOVIE,2021,112,history,91,1.0,7.1,73079.0,20.072,6.9,7,0.04340701358289938
4850,The Chair,SHOW,2021,30,drama,92,1.0,7.2,16331.0,6.775,7.0,9,0.03650024883774565
4851,Attenborough's Life in Colour,SHOW,2021,51,documentation,91,1.0,8.2,3238.0,6.232,7.7,29,0.016963451197455785
4852,Bill Burr Presents: Friends Who Kill,MOVIE,2022,73,comedy,21,1.0,4.5,1857.0,5.237,5.1,36,0.022292220482381074
4853,Hurts Like Hell,SHOW,2022,50,drama,34,1.0,8.4,83.0,8.413,9.071,15,0.03650024883774565
4854,Till Death,MOVIE,2021,89,horror,92,1.0,5.8,20256.0,21.514,6.6,10,0.15172426350096502
4855,Fear Street: Part Two - 1978,MOVIE,2021,109,drama,92,1.0,6.7,60682.0,116.422,7.3,28,0.03650024883774565
4856,Fatherhood,MOVIE,2021,109,drama,84,1.0,6.6,34661.0,88.619,7.6,10,0.03650024883774565
4857,The Serpent,SHOW,2021,57,crime,91,1.0,7.6,42371.0,12.904,7.6,11,0.05329376206256145
4858,White Hot: The Rise & Fall of Abercrombie & Fitch,MOVIE,2022,88,documentation,92,1.0,5.7,4124.0,5.038,5.9,49,0.016963451197455785
4859,jeen-yuhs,SHOW,2022,93,documentation,92,1.0,8.0,8319.0,3.852,7.1,9,0.016963451197455785
4860,Turning Point: 9/11 and the War on Terror,SHOW,2021,62,war,92,1.0,8.0,9132.0,7.209,7.3,41,0.11031402109658546
4861,The Perfect Mother,SHOW,2022,49,drama,77,1.0,5.9,845.0,14.164,6.0,18,0.03650024883774565
4862,Coming Home in the Dark,MOVIE,2021,93,thriller,80,1.0,5.7,5114.0,11.156,5.7,23,0.08545452338467888
4863,Too Old for Fairy Tales,MOVIE,2022,106,comedy,21,1.0,6.1,34.0,8.449,6.4,23,0.022292220482381074
4864,Human Resources,SHOW,2022,27,animation,92,1.0,7.2,5579.0,21.344,6.5,15,0.006979595304856584
4865,Long Story Short,MOVIE,2021,90,fantasy,83,1.0,6.5,4995.0,59.305,7.0,16,0.055241979534612726
4866,My Name,SHOW,2021,50,thriller,63,1.0,7.8,19737.0,86.286,8.3,7,0.08545452338467888
4867,The Sparks Brothers,MOVIE,2021,140,documentation,91,1.0,7.8,4663.0,6.784,7.3,19,0.016963451197455785
4868,The Shadow in My Eye,MOVIE,2021,107,war,73,1.0,7.3,9462.0,22.432,7.742,20,0.11031402109658546
4869,Dave Chappelle: The Closer,MOVIE,2021,72,comedy,92,1.0,8.0,25873.0,7.841,7.2,26,0.022292220482381074
4870,No One Gets Out Alive,MOVIE,2021,85,horror,56,1.0,5.3,15031.0,96.132,6.0,21,0.15172426350096502
4871,Welcome to Eden,SHOW,2022,41,action,60,1.0,5.4,4145.0,198.535,7.3,15,0.061918114174040764
4872,Maya and the Three,SHOW,2021,131,comedy,51,1.0,8.1,3780.0,51.341,7.8,18,0.022292220482381074
4873,The Vault,MOVIE,2021,118,crime,60,1.0,6.4,21511.0,22.456,5.9,9,0.05329376206256145
4874,The Andy Warhol Diaries,SHOW,2022,66,documentation,92,1.0,7.7,1844.0,1.844,7.6,23,0.016963451197455785
4875,The Tinder Swindler,MOVIE,2022,114,documentation,91,1.0,7.2,61809.0,41.443,7.061,19,0.016963451197455785
4877,Who Killed Sara?,SHOW,2021,41,drama,51,3.0,6.4,13960.0,119.334,7.7,16,0.03650024883774565
4878,Under the Amalfi Sun,MOVIE,2022,90,romance,71,1.0,5.2,502.0,561.722,6.3,20,0.0394984402121797
4879,Young Royals,SHOW,2021,45,drama,66,2.0,8.3,29025.0,43.342,8.8,12,0.03650024883774565
4880,Halston,SHOW,2021,47,drama,92,1.0,7.5,14681.0,18.504,7.3,7,0.03650024883774565
4881,Oxygen,MOVIE,2021,100,scifi,77,1.0,6.5,37871.0,44.5,6.635,6,0.10741293713508855
4882,Anxious People,SHOW,2021,29,crime,66,1.0,6.8,3913.0,3.126,6.4,14,0.05329376206256145
4883,Last Man Down,MOVIE,2021,87,thriller,66,1.0,4.8,12850.0,358.251,6.273,13,0.08545452338467888
4884,The Trip,MOVIE,2021,114,action,72,1.0,6.9,20921.0,65.274,6.7,8,0.061918114174040764
4885,The Woman in the Window,MOVIE,2021,100,drama,92,1.0,5.7,72490.0,23.639,6.1,23,0.03650024883774565
4886,Jupiter's Legacy,SHOW,2021,45,scifi,92,1.0,6.7,37848.0,59.076,7.3,16,0.10741293713508855
4887,365 Days: This Day,MOVIE,2022,111,romance,54,1.0,2.5,16587.0,449.292,5.8,18,0.0394984402121797
4888,Hold Tight,SHOW,2022,47,crime,54,1.0,6.1,2288.0,6.901,7.2,10,0.05329376206256145
4889,Aftermath,MOVIE,2021,114,horror,92,1.0,5.3,15646.0,46.058,6.4,9,0.15172426350096502
4890,Chickenhare and the Hamster of Darkness,MOVIE,2022,91,animation,76,1.0,6.3,1303.0,511.444,7.446,39,0.006979595304856584
4891,The Innocent,SHOW,2021,58,thriller,60,1.0,7.8,29670.0,15.042,7.8,12,0.08545452338467888
4892,Toscana,MOVIE,2022,90,drama,73,1.0,5.7,5826.0,11.013,5.8,7,0.03650024883774565
4893,Home Team,MOVIE,2022,95,family,92,1.0,6.0,17767.0,72.562,6.8,9,0.011507228433050508
